,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1
0,Alistair Overeem,Walt Harris,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Claudia Gadelha,Angela Hill,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Women's Strawweight,FEMALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dan Ige,Edson Barboza,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Krzysztof Jotko,Eryk Anders,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Song Yadong,Marlon Vera,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Miguel Baeza,Matt Brown,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Welterweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kevin Holland,Anthony Hernandez,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Middleweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Giga Chikadze,Irwin Rivera,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Nate Landwehr,Darren Elkins,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Featherweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cortney Casey,Mara Romero Borella,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Women's Flyweight,FEMALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Rodrigo Nascimento,Don'Tale Mayes,,,,,5/16/2020,"Jacksonville, Florida, USA",USA,Red,False,Heavyweight,MALE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
