R_fighter,B_fighter,Red - DEC,Red - KO/TKO,Red - SUB,Blue - DEC,Blue - KO/TKO,Blue - SUB,FINISH
Deiveson Figueiredo,Joseph Benavidez,375,-145,630,355,750,1085,Red - SUB
Jack Hermansson,Kelvin Gastelum,200,650,459,246,250,1045,Red - SUB
Marc Diakiese,Rafael Fiziev,160,325,1350,255,550,1800,Blue - DEC
Ariane Lipski,Luana Carolina,150,575,805,155,1225,1200,Red - SUB
Alexandre Pantoja,Askar Askarov,120,325,550,250,1650,1175,Blue - DEC
Roman Dolidze,Khadis Ibragimov,325,175,545,485,325,645,Red - KO/TKO
Grant Dawson,Nad Narimani,160,750,205,580,620,800,Red - DEC
Joe Duffy,Joel Alvarez,125,480,355,575,785,615,Blue - SUB
Brett Johns,Montel Jackson,400,1350,565,-120,465,950,Red - DEC
Malcolm Gordon,Amir Albazi,365,550,485,250,410,375,Blue - SUB
Davi Ramos,Arman Tsarukyan,700,850,370,-135,595,1800,Blue - DEC
Carlos Felipe,Serghei Spivac,750,230,2000,240,450,333,Blue - DEC
